# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 01:24:21 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2
K2-214 b,8.59680200000,0.00100600000,-0.00084700000,0,2.43000000,0.13000000,-0.13000000,0,6.48000000,,,0,1006.00,18.00,-19.00,0,,5854.00,85.00,-85.00,0,1.270000,0.020000,-0.020000,0,300.64000000,4.18600000,-4.07500000
K2-215 b,8.26964800000,0.00046700000,-0.00045600000,0,2.12381238,0.25911151,-0.15791736,0,5.16000000,,,0,,,,,,5704.00,50.00,-50.00,0,0.974398,0.094703,-0.049190,0,403.96400000,6.43400000,-6.24000000
K2-216 b,2.17480000000,0.00005000000,-0.00005000000,0,1.75000000,0.17000000,-0.10000000,0,8.00000000,1.60000000,-1.60000000,0,1103.00,180.00,-56.00,0,K5 V,4503.00,69.00,-69.00,0,0.720000,0.030000,-0.030000,0,115.46100000,0.71000000,-0.70100000
K2-217 b,14.07452400000,0.00099400000,-0.00093800000,0,3.57854073,0.69817052,-0.48514712,0,12.50000000,,,0,,,,,,5967.00,50.00,-50.00,0,1.333718,0.198959,-0.170697,0,381.87800000,7.64900000,-7.36000000
K2-218 b,8.67988500000,0.00041700000,-0.00043000000,0,2.56948149,0.27525709,-0.15204146,0,7.13000000,,,0,,,,,,5757.00,50.00,-50.00,0,1.008231,0.080038,-0.045523,0,394.08300000,10.01700000,-9.54100000
K2-219 b,3.90128700000,0.00066000000,-0.00067700000,0,1.34762583,0.20196772,-0.18106070,0,2.38000000,,,0,,,,,,5753.00,50.00,-50.00,0,1.189232,0.158019,-0.144736,0,325.40000000,4.84200000,-4.70500000
K2-219 c,6.66767000000,0.00128300000,-0.00156900000,0,1.43839723,0.21399624,-0.19150365,0,2.66000000,,,0,,,,,,5753.00,50.00,-50.00,0,1.189232,0.158019,-0.144736,0,325.40000000,4.84200000,-4.70500000
K2-219 d,11.13727800000,0.00080800000,-0.00078600000,0,2.57634456,0.35702762,-0.32309240,0,7.16000000,,,0,,,,,,5753.00,50.00,-50.00,0,1.189232,0.158019,-0.144736,0,325.40000000,4.84200000,-4.70500000
K2-22 b,0.38107300000,0.00002400000,-0.00002400000,0,2.30000000,0.10000000,-0.10000000,0,444.96200000,,,1,2100.00,,,0,M0 V,3879.00,90.00,-90.00,0,0.580000,0.030000,-0.030000,0,243.83600000,2.79750000,-2.79750000
K2-220 b,13.68325600000,0.00105000000,-0.00110000000,0,2.39000000,0.12000000,-0.12000000,0,6.30000000,,,0,758.00,15.00,-15.00,0,,5660.00,92.00,-92.00,0,1.020000,0.020000,-0.020000,0,233.51400000,2.75700000,-2.69500000
K2-221 b,2.39909400000,0.00012500000,-0.00011800000,0,1.67890272,0.16686160,-0.09566216,0,3.46000000,,,0,,,,,,5716.00,50.00,-50.00,0,0.947599,0.044755,-0.029278,0,318.81000000,6.76300000,-6.49300000
K2-222 b,15.38857000000,0.00088000000,-0.00088000000,0,2.35000000,0.08000000,-0.07000000,0,8.70000000,1.70000000,-1.70000000,0,871.00,23.00,-23.00,0,,5942.00,119.00,-119.00,0,1.115000,0.029000,-0.029000,0,101.32100000,0.63200000,-0.62500000
K2-223 b,0.50557000000,0.00008800000,-0.00008800000,0,0.89000000,0.10000000,-0.09000000,0,0.64000000,,,0,2271.00,23.00,-23.00,0,,5859.00,50.00,-50.00,0,1.000000,0.060000,-0.060000,0,198.60400000,2.56700000,-2.50300000
K2-223 c,4.56254600000,0.00014000000,-0.00014000000,0,1.50000000,0.10000000,-0.10000000,0,2.86000000,,,0,1091.00,11.00,-11.00,0,,5859.00,50.00,-50.00,0,1.000000,0.060000,-0.060000,0,198.60400000,2.56700000,-2.50300000
K2-224 b,4.47904000000,0.00116000000,-0.00132000000,0,1.56000000,0.16000000,-0.14000000,0,3.05000000,,,0,1002.00,11.00,-11.00,0,,5620.00,42.00,-45.00,0,0.840000,0.010000,-0.010000,0,275.25500000,2.93500000,-2.87400000
K2-224 c,10.09489000000,0.00119000000,-0.00114000000,0,2.41000000,0.16000000,-0.12000000,0,6.39000000,,,0,764.00,9.00,-9.00,0,,5620.00,42.00,-45.00,0,0.840000,0.010000,-0.010000,0,275.25500000,2.93500000,-2.87400000
K2-225 b,15.87230000000,0.00210000000,-0.00190000000,0,3.60929179,0.28022452,-0.22417961,0,12.70000000,,,0,923.00,13.00,-14.00,0,,5520.00,140.00,-140.00,0,1.700000,0.094000,-0.087000,0,357.77800000,5.89600000,-5.71100000
K2-226 b,3.27109000000,0.00036000000,-0.00039000000,0,1.53899305,0.10312262,-0.08630915,0,2.98000000,,,0,1187.00,16.00,-17.00,0,,5288.00,99.00,-99.00,0,0.889000,0.034000,-0.032000,0,211.26500000,3.37900000,-3.27500000
K2-227 b,13.62183200000,0.00318800000,-0.00326800000,0,1.66551298,1.22117412,-0.17927703,0,3.41000000,,,0,,,,,,5673.00,50.00,-50.00,0,0.890666,0.040770,-0.030696,0,187.23400000,2.05600000,-2.01300000
K2-228 b,2.69828000000,0.00022000000,-0.00022000000,0,1.21000000,0.10000000,-0.06000000,0,1.92000000,,,0,914.00,14.00,-13.00,0,,4715.00,48.00,-46.00,0,0.650000,0.010000,-0.010000,0,129.46000000,4.09100000,-3.85200000
K2-229 b,0.58421600000,0.00002200000,-0.00002200000,0,1.00000000,0.02000000,-0.02000000,0,2.49000000,0.42000000,-0.43000000,0,1818.00,14.00,-15.00,0,G9,5315.00,35.00,-35.00,0,0.790000,0.010000,-0.010000,0,102.56400000,1.09300000,-1.07000000
K2-229 c,8.32727000000,0.00041000000,-0.00043000000,0,2.03000000,0.12000000,-0.06000000,0,21.30000000,,,1,750.00,6.00,-6.00,0,G9,5315.00,35.00,-31.00,0,0.790000,0.010000,-0.010000,0,102.56400000,1.09300000,-1.07000000
K2-230 b,2.86041000000,0.00061000000,-0.00061000000,0,1.96000000,0.18000000,-0.16000000,0,4.50000000,,,0,1529.00,22.00,-22.00,0,,5945.00,23.00,-25.00,0,1.390000,0.040000,-0.040000,0,540.77300000,14.32100000,-13.61300000
K2-231 b,13.84190100000,0.00135200000,-0.00135200000,0,2.50000000,0.20000000,-0.20000000,0,6.80000000,,,0,,,,,,5695.00,50.00,-50.00,0,0.950000,0.030000,-0.030000,0,321.21500000,4.19800000,-4.09300000
K2-232 b,11.16845400000,0.00002300000,-0.00002300000,0,11.20900000,0.24659800,-0.22418000,0,126.49634000,11.75971000,-11.75971000,0,1030.00,15.00,-15.00,0,,6154.00,60.00,-60.00,0,1.161000,0.024000,-0.024000,0,130.72000000,0.76800000,-0.75900000
K2-233 b,2.46750000000,0.00004000000,-0.00004000000,0,1.34300000,0.01800000,-0.01600000,0,11.26000000,,,1,1121.00,10.00,-9.00,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,67.50620000,0.27990000,-0.27750000
K2-233 c,7.06005000000,0.00024000000,-0.00027000000,0,1.28100000,0.02200000,-0.02100000,0,12.81000000,,,1,790.00,7.00,-6.00,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,67.50620000,0.27990000,-0.27750000
K2-233 d,24.36450000000,0.00068000000,-0.00068000000,0,2.35800000,0.04300000,-0.03600000,0,21.14000000,,,1,523.00,5.00,-4.00,0,K3,5033.00,41.00,-35.00,0,0.710000,0.010000,-0.010000,0,67.50620000,0.27990000,-0.27750000
K2-237 b,2.18053332000,0.00000054000,-0.00000054000,0,16.06246934,0.62770292,-0.54924005,0,434.15360396,34.96112477,-29.24021344,0,1759.00,49.00,-42.00,0,F9 V,6180.00,160.00,-140.00,0,1.236000,0.043000,-0.036000,0,314.99500000,7.22100000,-6.91000000
K2-238 b,3.20466000000,0.00003000000,-0.00003000000,0,14.57170000,1.68135000,-1.56926000,0,273.33380000,41.31790000,-38.13960000,0,1587.00,75.00,-76.00,0,G2 V,5630.00,78.00,-78.00,0,1.590000,0.160000,-0.160000,0,537.96300000,,
K2-239 b,5.24000000000,0.00100000000,-0.00100000000,0,1.10000000,0.10000000,-0.10000000,0,1.37000000,,,0,502.00,22.00,-18.00,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,31.08490000,0.08310000,-0.08260000
K2-239 c,7.77500000000,0.00100000000,-0.00100000000,0,1.00000000,0.10000000,-0.10000000,0,0.97200000,,,0,427.00,24.00,-19.00,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,31.08490000,0.08310000,-0.08260000
K2-239 d,10.11500000000,0.00100000000,-0.00100000000,0,1.10000000,0.10000000,-0.10000000,0,1.37000000,,,0,399.00,18.00,-15.00,0,M3.0 V,3420.00,18.00,-18.00,0,0.360000,0.010000,-0.010000,0,31.08490000,0.08310000,-0.08260000
K2-24 b,20.88977000000,0.00034000000,-0.00035000000,0,5.40000000,0.20000000,-0.20000000,0,19.00000000,2.20000000,-2.10000000,0,709.00,36.00,-36.00,0,G9 V,5625.00,60.00,-60.00,0,1.160000,0.040000,-0.040000,0,170.56200000,1.36000000,-1.33800000
K2-24 c,42.33910000000,0.00120000000,-0.00120000000,0,7.50000000,0.30000000,-0.30000000,0,15.40000000,1.90000000,-1.80000000,0,560.00,29.00,-29.00,0,G9 V,5625.00,60.00,-60.00,0,1.160000,0.040000,-0.040000,0,170.56200000,1.36000000,-1.33800000
K2-240 b,6.03400000000,0.00100000000,-0.00100000000,0,2.00000000,0.20000000,-0.10000000,0,4.66000000,,,0,586.00,24.00,-18.00,0,M0.5 V,3810.00,17.00,-17.00,0,0.540000,0.010000,-0.010000,0,72.91050000,0.52255000,-0.52255000
K2-240 c,20.52300000000,0.00100000000,-0.00100000000,0,1.80000000,0.30000000,-0.10000000,0,3.89000000,,,0,389.00,19.00,-17.00,0,M0.5 V,3810.00,17.00,-17.00,0,0.540000,0.010000,-0.010000,0,72.91050000,0.52255000,-0.52255000
K2-241 b,26.81990000000,0.00245000000,-0.00247000000,0,2.55000000,0.18000000,-0.10000000,0,7.04000000,,,0,507.00,5.00,-5.00,0,,5262.00,43.00,-39.00,0,0.750000,0.010000,-0.010000,0,149.46400000,1.09400000,-1.07800000
K2-242 b,6.51389000000,0.00082000000,-0.00083000000,0,2.54000000,0.21000000,-0.19000000,0,6.99000000,,,0,416.00,8.00,-8.00,0,,3459.00,65.00,-38.00,0,0.370000,0.010000,-0.010000,0,109.23700000,0.62500000,-0.61700000
K2-243 b,11.54182000000,0.00272000000,-0.00221000000,0,2.17000000,0.14000000,-0.12000000,0,5.35000000,,,0,1035.00,36.00,-35.00,0,,6570.00,269.00,-171.00,0,1.390000,0.030000,-0.030000,0,266.86400000,3.51600000,-3.42800000
K2-243 c,24.94598000000,0.00491000000,-0.00561000000,0,2.01000000,0.15000000,-0.13000000,0,4.70000000,,,0,801.00,27.00,-28.00,0,,6570.00,269.00,-171.00,0,1.390000,0.030000,-0.030000,0,266.86400000,3.51600000,-3.42800000
K2-244 b,21.06884000000,0.00320000000,-0.00325000000,0,1.75000000,0.13000000,-0.10000000,0,3.71000000,,,0,638.00,7.00,-7.00,0,,5677.00,38.00,-39.00,0,0.920000,0.020000,-0.010000,0,212.90200000,2.42200000,-2.36900000
K2-245 b,11.89307000000,0.00065000000,-0.00063000000,0,4.34000000,0.19000000,-0.14000000,0,17.40000000,,,0,923.00,14.00,-14.00,0,,5793.00,66.00,-52.00,0,1.250000,0.030000,-0.030000,0,456.06400000,8.71300000,-8.39800000
K2-246 b,5.76918000000,0.00081000000,-0.00082000000,0,3.49000000,0.25000000,-0.21000000,0,12.00000000,,,0,977.00,19.00,-18.00,0,,5610.00,32.00,-29.00,0,0.940000,0.030000,-0.030000,0,703.61600000,26.48250000,-26.48250000
K2-247 b,2.25021000000,0.00033000000,-0.00036000000,0,2.12000000,0.19000000,-0.16000000,0,5.14000000,,,0,979.00,52.00,-51.00,0,,4667.00,305.00,-183.00,0,0.690000,0.020000,-0.010000,0,258.11300000,2.04900000,-2.01700000
K2-247 c,6.49424000000,0.00260000000,-0.00251000000,0,2.19000000,0.25000000,-0.23000000,0,5.43000000,,,0,688.00,36.00,-35.00,0,,4667.00,305.00,-183.00,0,0.690000,0.020000,-0.010000,0,258.11300000,2.04900000,-2.01700000
K2-248 b,7.17256000000,0.00148000000,-0.00142000000,0,2.57000000,0.20000000,-0.14000000,0,7.13000000,,,0,886.00,19.00,-18.00,0,,5528.00,97.00,-86.00,0,0.920000,0.020000,-0.020000,0,406.25400000,4.99100000,-4.87400000
K2-249 b,12.40900000000,0.00337000000,-0.00284000000,0,2.79000000,0.27000000,-0.22000000,0,8.20000000,,,0,1061.00,66.00,-66.00,0,,6504.00,329.00,-419.00,0,1.570000,0.060000,-0.060000,0,521.71600000,16.91700000,-15.90300000
K2-25 b,3.48456408000,0.00000060000,-0.00000050000,0,3.44000000,0.12000000,-0.12000000,0,24.50000000,5.70000000,-5.20000000,0,494.00,11.00,-11.00,0,M4.5 V,3207.00,58.00,-58.00,0,0.293200,0.009300,-0.009300,0,44.95650000,0.16640000,-0.16530000
K2-250 b,4.01392000000,0.00029000000,-0.00029000000,0,2.71257333,0.17934369,-0.13450777,0,7.81000000,,,0,1003.00,14.00,-14.00,0,,5003.00,94.00,-94.00,0,0.797000,0.029000,-0.027000,0,414.70800000,6.35200000,-6.16600000
K2-251 b,9.30075000000,0.00332000000,-0.00321000000,0,2.35000000,0.26000000,-0.21000000,0,6.12000000,,,0,437.00,9.00,-9.00,0,,3717.00,85.00,-50.00,0,0.490000,0.010000,-0.010000,0,147.03000000,1.04200000,-1.02800000
K2-252 b,13.81513000000,0.00461000000,-0.00448000000,0,1.74000000,0.17000000,-0.12000000,0,3.68000000,,,0,639.00,7.00,-7.00,0,,5152.00,41.00,-39.00,0,0.820000,0.010000,-0.010000,0,228.83900000,2.08300000,-2.04700000
K2-253 b,4.00167000000,0.00013000000,-0.00013000000,0,12.67000000,0.69000000,-0.61000000,0,,,,,1238.00,57.00,-53.00,0,,6027.00,221.00,-240.00,0,1.100000,0.040000,-0.040000,0,876.56500000,28.77900000,-27.03700000
K2-254 b,4.09639000000,0.00081000000,-0.00079000000,0,1.63000000,0.28000000,-0.24000000,0,3.29000000,,,0,791.00,26.00,-26.00,0,,4629.00,168.00,-123.00,0,0.670000,0.010000,-0.010000,0,227.77500000,1.29600000,-1.28100000
K2-254 c,12.11839000000,0.00303000000,-0.00321000000,0,2.19000000,0.24000000,-0.18000000,0,5.43000000,,,0,551.00,18.00,-18.00,0,,4629.00,168.00,-123.00,0,0.670000,0.010000,-0.010000,0,227.77500000,1.29600000,-1.28100000
K2-255 b,1.96417000000,0.00004000000,-0.00004000000,0,2.90000000,0.28000000,-0.11000000,0,8.75000000,,,0,1034.00,17.00,-17.00,0,,4676.00,63.00,-61.00,0,0.690000,0.010000,-0.010000,0,191.60800000,1.53800000,-1.51500000
K2-257 b,1.60588000000,0.00014000000,-0.00013000000,0,0.83000000,0.06000000,-0.05000000,0,0.49800000,,,0,789.00,14.00,-14.00,0,,3725.00,80.00,-46.00,0,0.500000,0.010000,-0.010000,0,64.00650000,0.25770000,-0.25770000
K2-258 b,19.09210000000,0.00576000000,-0.00633000000,0,3.00000000,0.21000000,-0.20000000,0,9.27000000,,,0,831.00,30.00,-30.00,0,,6351.00,198.00,-228.00,0,1.310000,0.030000,-0.030000,0,661.87300000,11.21800000,-10.85600000
K2-259 b,15.48043000000,0.00332000000,-0.00392000000,0,2.32000000,0.20000000,-0.17000000,0,5.99000000,,,0,795.00,13.00,-13.00,0,,6059.00,62.00,-76.00,0,1.130000,0.030000,-0.020000,0,416.45700000,8.19200000,-7.88800000
K2-26 b,14.56650000000,0.00160000000,-0.00200000000,0,2.67000000,0.46000000,-0.42000000,0,7.61000000,,,0,430.00,,,0,M1.0 V,3785.00,185.00,-185.00,0,0.520000,0.080000,-0.080000,0,99.05040000,0.51530000,-0.51020000
K2-260 b,2.62669762000,0.00000066000,-0.00000066000,0,18.41635529,0.65012088,-0.81825559,0,546.66486004,108.06165838,-111.23994245,0,2090.00,35.00,-39.00,0,F6 V,6860.00,150.00,-160.00,0,1.755000,0.061000,-0.078000,0,663.83400000,19.39500000,-18.34200000
K2-261 b,11.63346810000,0.00000440000,-0.00000440000,0,9.26982704,0.36989636,-0.33626942,0,68.96876432,7.94571018,-9.21702380,0,1036.00,10.00,-10.00,0,G7 IV/V,5490.00,110.00,-110.00,0,1.663000,0.071000,-0.068000,0,213.28300000,1.97500000,-1.94100000
K2-263 b,50.81894700000,0.00009400000,-0.00009400000,0,2.41000000,0.12000000,-0.12000000,0,14.90000000,2.10000000,-2.10000000,0,470.00,7.00,-7.00,0,G9 V,5368.00,44.00,-44.00,0,0.850000,0.020000,-0.020000,0,162.48100000,1.38000000,-1.35700000
K2-264 b,5.84000200000,0.00067600000,-0.00060200000,0,2.23100000,0.15100000,-0.14500000,0,5.61000000,,,0,496.00,10.00,-10.00,0,M2.5 V,3660.00,80.00,-45.00,0,0.473000,0.011000,-0.011000,0,185.60500000,2.12200000,-2.07500000
K2-264 c,19.66030200000,0.00349600000,-0.00333700000,0,2.66800000,0.20100000,-0.19400000,0,7.60000000,,,0,331.00,7.00,-7.00,0,M2.5 V,3660.00,80.00,-45.00,0,0.473000,0.011000,-0.011000,0,185.60500000,2.12200000,-2.07500000
K2-265 b,2.36902000000,0.00005800000,-0.00005900000,0,1.70824866,0.11208981,-0.08070466,0,7.34183620,1.43022783,-1.39844499,0,1366.00,17.00,-17.00,0,G8 V,5420.00,100.00,-100.00,0,0.920000,0.034000,-0.032000,0,138.67100000,0.98500000,-0.97000000
K2-266 b,0.65852400000,0.00001700000,-0.00001700000,0,3.30000000,1.80000000,-1.30000000,0,11.26782377,11.37119830,-11.37119830,0,1515.00,18.00,-18.00,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,77.55860000,0.35810000,-0.35490000
K2-266 c,7.81400000000,0.00190000000,-0.00160000000,0,0.70500000,0.09600000,-0.08500000,0,0.29013072,0.17007663,-0.17007663,0,664.50,8.00,-7.70,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,77.55860000,0.35810000,-0.35490000
K2-266 d,14.69700000000,0.00034000000,-0.00035000000,0,2.93000000,0.14000000,-0.12000000,0,8.90000000,5.70000000,-3.80000000,0,538.30,6.50,-6.30,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,77.55860000,0.35810000,-0.35490000
K2-266 e,19.48200000000,0.00120000000,-0.00120000000,0,2.73000000,0.14000000,-0.11000000,0,14.30000000,6.40000000,-5.00000000,0,490.10,5.90,-5.70,0,,4285.00,49.00,-57.00,0,0.703000,0.024000,-0.022000,0,77.55860000,0.35810000,-0.35490000
K2-268 b,2.15167600000,0.00000500000,-0.00000600000,0,1.50000000,0.12000000,-0.07000000,0,2.86000000,,,0,1136.00,18.00,-19.00,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,327.78300000,3.23600000,-3.17500000
K2-268 c,9.32752700000,0.00002100000,-0.00002000000,0,2.69000000,0.77000000,-0.21000000,0,7.70000000,,,0,696.00,12.00,-13.00,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,327.78300000,3.23600000,-3.17500000
K2-268 d,4.52859800000,0.00001600000,-0.00001500000,0,1.49000000,0.14000000,-0.07000000,0,2.83000000,,,0,888.00,16.00,-15.00,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,327.78300000,3.23600000,-3.17500000
K2-268 e,6.13124300000,0.00003200000,-0.00003300000,0,1.33000000,0.11000000,-0.08000000,0,2.33000000,,,0,801.00,13.00,-13.00,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,327.78300000,3.23600000,-3.17500000
K2-268 f,26.27057000000,0.00010500000,-0.00010900000,0,2.23000000,0.15000000,-0.09000000,0,5.60000000,,,0,492.00,8.00,-10.00,0,,5106.00,70.00,-61.00,0,0.780000,0.020000,-0.020000,0,327.78300000,3.23600000,-3.17500000
K2-269 b,4.14496500000,0.00081700000,-0.00061900000,0,1.57000000,0.12000000,-0.12000000,0,3.09000000,,,0,1429.00,37.00,-37.00,0,,6209.00,88.00,-88.00,0,1.450000,0.060000,-0.060000,0,360.76000000,15.80500000,-14.55400000
K2-27 b,6.77131500000,0.00008500000,-0.00008500000,0,4.48000000,0.23000000,-0.23000000,0,30.90000000,4.60000000,-4.60000000,0,902.00,28.00,-28.00,0,,5248.00,60.00,-60.00,0,0.885000,0.043000,-0.043000,0,249.64500000,2.48900000,-2.44100000
K2-270 b,1.54306900000,0.00018900000,-0.00018500000,0,1.38000000,0.11000000,-0.11000000,0,2.48000000,,,0,1203.00,17.00,-17.00,0,,4877.00,58.00,-58.00,0,0.770000,0.010000,-0.010000,0,280.51800000,2.38500000,-2.34600000
K2-270 c,4.40002800000,0.00016900000,-0.00017800000,0,2.95000000,0.16000000,-0.16000000,0,9.01000000,,,0,848.00,12.00,-12.00,0,,4877.00,58.00,-58.00,0,0.770000,0.010000,-0.010000,0,280.51800000,2.38500000,-2.34600000
K2-271 b,8.56242100000,0.00012700000,-0.00012700000,0,7.28000000,0.23000000,-0.23000000,0,41.80000000,,,0,893.00,17.00,-17.00,0,,5644.00,71.00,-71.00,0,0.990000,0.030000,-0.030000,0,564.45400000,13.70000000,-13.70000000
K2-272 b,14.45367560000,0.00002430000,-0.00002400000,0,3.13000000,0.38000000,-0.21000000,0,9.96000000,,,0,747.00,82.00,-65.00,0,,5397.00,105.00,-96.00,0,0.830000,0.030000,-0.030000,0,423.06500000,5.39300000,-5.39300000
K2-273 b,11.71956630000,0.00001340000,-0.00001350000,0,3.05000000,0.23000000,-0.12000000,0,9.53000000,,,0,849.00,7.00,-29.00,0,,5161.00,53.00,-47.00,0,0.850000,0.020000,-0.020000,0,308.10500000,2.98000000,-2.92300000
K2-274 b,14.13303140000,0.00002820000,-0.00002820000,0,2.08000000,0.12000000,-0.07000000,0,4.98000000,,,0,655.00,0.00,-20.00,0,,5044.00,43.00,-42.00,0,0.700000,0.010000,-0.010000,0,228.32700000,4.82300000,-4.63100000
K2-275 b,3.28096260000,0.00000160000,-0.00000160000,0,2.34000000,0.25000000,-0.27000000,0,6.08000000,,,0,1166.00,0.00,-216.00,0,,4841.00,39.00,-37.00,0,0.690000,0.010000,-0.010000,0,123.43800000,0.71400000,-0.70600000
K2-275 c,8.43883850000,0.00000750000,-0.00000670000,0,2.21000000,0.08000000,-0.06000000,0,5.52000000,,,0,653.00,3.00,-17.00,0,,4841.00,39.00,-37.00,0,0.690000,0.010000,-0.010000,0,123.43800000,0.71400000,-0.70600000
K2-276 b,18.71826900000,0.00315300000,-0.00300800000,0,3.77000000,0.21000000,-0.21000000,0,13.70000000,,,0,583.00,10.00,-9.00,0,,5139.00,62.00,-62.00,0,0.850000,0.020000,-0.020000,0,488.15200000,7.65400000,-7.42500000
K2-277 b,6.32676800000,0.00001500000,-0.00001200000,0,2.18575124,0.20176165,-0.12329879,0,5.42000000,,,0,1049.00,15.00,-15.00,0,,5680.00,120.00,-120.00,0,0.973000,0.038000,-0.035000,0,113.12300000,0.70100000,-0.69100000
K2-278 b,3.33496600000,0.00070100000,-0.00085900000,0,2.98000000,0.23000000,-0.23000000,0,9.17000000,,,0,1711.00,101.00,-101.00,0,,6747.00,383.00,-383.00,0,1.610000,0.050000,-0.050000,0,786.43900000,16.39500000,-15.75100000
K2-279 b,7.12260500000,0.00164700000,-0.00160100000,0,1.21000000,0.14000000,-0.14000000,0,1.92000000,,,0,879.00,14.00,-14.00,0,,5558.00,70.00,-70.00,0,0.860000,0.010000,-0.010000,0,182.98300000,1.60800000,-1.57900000
K2-28 b,2.26045500000,0.00004100000,-0.00004100000,0,2.32000000,0.24000000,-0.24000000,0,5.99000000,,,0,568.00,35.00,-35.00,0,M4,3214.00,60.00,-60.00,0,0.288000,0.028000,-0.028000,0,62.99690000,0.32120000,-0.31810000
K2-280 b,19.89526000000,0.00028000000,-0.00028000000,0,7.50000000,0.44000000,-0.44000000,0,37.10000000,5.60000000,-5.60000000,0,787.00,17.00,-17.00,0,,5500.00,100.00,-100.00,0,1.280000,0.070000,-0.070000,0,391.53700000,7.49400000,-7.22300000
K2-281 b,8.68772100000,0.00015100000,-0.00015000000,0,8.18000000,0.21000000,-0.21000000,0,50.90000000,,,0,665.00,12.00,-12.00,0,,4812.00,72.00,-72.00,0,0.760000,0.010000,-0.010000,0,458.13900000,7.72400000,-7.72400000
K2-282 b,4.16978300000,0.00008900000,-0.00008900000,0,2.50000000,0.20000000,-0.10000000,0,6.80000000,,,0,1057.00,20.00,-20.00,0,,5499.00,109.00,-109.00,0,1.000000,0.040000,-0.040000,0,496.28900000,7.90200000,-7.66300000
K2-283 b,1.92103600000,0.00005100000,-0.00005300000,0,3.52000000,0.16000000,-0.16000000,0,12.20000000,,,0,1186.00,20.00,-20.00,0,,5060.00,70.00,-70.00,0,0.820000,0.010000,-0.010000,0,402.91500000,5.02700000,-4.90700000
K2-284 b,4.79506900000,0.00008600000,-0.00008600000,0,2.78000000,0.14000000,-0.12000000,0,8.15000000,,,0,653.00,16.00,-14.00,0,,4140.00,50.00,-50.00,0,0.607000,0.022000,-0.022000,0,107.27200000,0.50200000,-0.49700000
